"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.695973860E-1,5.200000107E-2,4.100000113E-2,5.400000140E-2,8.544589139E-2
7.746121550E-1,5.200000107E-2,4.100000113E-2,9.499999881E-2,1.158015543E-1
7.796269100E-1,6.499999762E-2,1.400000043E-2,1.300000027E-2,6.774953660E-2
7.846416790E-1,6.499999762E-2,1.400000043E-2,-8.100000024E-2,1.047950368E-1
7.896564480E-1,6.499999762E-2,2.800000086E-2,-1.770000011E-1,1.906252872E-1
7.946712170E-1,6.599999964E-2,5.499999970E-2,-1.630000025E-1,1.842552597E-1
7.996859860E-1,7.900000364E-2,8.200000226E-2,-2.700000070E-2,1.170213698E-1
8.047007600E-1,7.900000364E-2,8.200000226E-2,1.080000028E-1,1.569362977E-1
8.097155290E-1,7.900000364E-2,5.499999970E-2,9.499999881E-2,1.352442247E-1
8.147303030E-1,6.599999964E-2,2.800000086E-2,-1.300000027E-2,7.286288498E-2
8.197450720E-1,6.599999964E-2,2.800000086E-2,-1.220000014E-1,1.415061848E-1
8.247598460E-1,6.599999964E-2,4.100000113E-2,-1.220000014E-1,1.446409360E-1
8.297746160E-1,9.300000221E-2,4.100000113E-2,-1.080000028E-1,1.483037461E-1
8.347893860E-1,7.900000364E-2,6.899999827E-2,-3.999999911E-2,1.122586311E-1
8.398041650E-1,1.070000008E-1,6.899999827E-2,8.100000024E-2,1.509006294E-1
8.448189340E-1,9.300000221E-2,4.100000113E-2,1.630000025E-1,1.920911276E-1
8.498337030E-1,9.300000221E-2,2.800000086E-2,1.080000028E-1,1.452480673E-1
8.548484720E-1,7.900000364E-2,1.400000043E-2,-3.999999911E-2,8.964931966E-2
8.598634710E-1,9.300000221E-2,2.800000086E-2,-1.490000039E-1,1.778594997E-1
8.648782470E-1,9.300000221E-2,4.100000113E-2,-1.220000014E-1,1.587891710E-1
8.698930170E-1,9.300000221E-2,5.499999970E-2,-2.700000070E-2,1.113687587E-1
8.749078050E-1,7.900000364E-2,4.100000113E-2,9.499999881E-2,1.301806454E-1
8.799225740E-1,6.599999964E-2,2.800000086E-2,1.770000011E-1,1.909685848E-1
8.849373430E-1,9.300000221E-2,1.400000043E-2,1.360000074E-1,1.653511489E-1
8.899521130E-1,7.900000364E-2,0.000000000E0,1.300000027E-2,8.006247924E-2
8.949668820E-1,9.300000221E-2,0.000000000E0,-9.499999881E-2,1.329435978E-1
8.999816800E-1,9.300000221E-2,0.000000000E0,-9.499999881E-2,1.329435978E-1
9.049964490E-1,7.900000364E-2,1.400000043E-2,-1.300000027E-2,8.127730676E-2
9.100112180E-1,6.599999964E-2,2.700000070E-2,1.220000014E-1,1.413117133E-1
9.150259960E-1,7.900000364E-2,1.400000043E-2,2.039999962E-1,2.192099428E-1
9.200407650E-1,6.599999964E-2,0.000000000E0,1.490000039E-1,1.629631895E-1
9.250555340E-1,7.900000364E-2,0.000000000E0,1.300000027E-2,8.006247924E-2
9.300703030E-1,7.900000364E-2,0.000000000E0,-1.080000028E-1,1.338095706E-1
9.350850720E-1,6.599999964E-2,0.000000000E0,-1.220000014E-1,1.387083281E-1
9.400998600E-1,6.599999964E-2,1.400000043E-2,-2.700000070E-2,7.267048921E-2
9.451146290E-1,5.200000107E-2,2.700000070E-2,6.800000370E-2,8.976079685E-2
9.501293980E-1,6.599999964E-2,1.400000043E-2,1.490000039E-1,1.635634468E-1
9.551441870E-1,9.300000221E-2,0.000000000E0,1.360000074E-1,1.647574048E-1
9.601589570E-1,6.599999964E-2,0.000000000E0,3.999999911E-2,7.717512476E-2
9.651737180E-1,6.599999964E-2,0.000000000E0,-9.499999881E-2,1.156762712E-1
9.701884870E-1,5.200000107E-2,0.000000000E0,-1.490000039E-1,1.578131848E-1
9.752032560E-1,6.599999964E-2,4.100000113E-2,-9.499999881E-2,1.227273393E-1
9.802180300E-1,5.200000107E-2,4.100000113E-2,3.999999911E-2,7.736278261E-2
9.852327990E-1,6.599999964E-2,4.100000113E-2,1.490000039E-1,1.680416651E-1
9.902475680E-1,6.599999964E-2,1.400000043E-2,1.220000014E-1,1.394130564E-1
9.952623460E-1,7.999999821E-2,1.400000043E-2,1.300000027E-2,8.224961844E-2
1.000277115E0,7.999999821E-2,0.000000000E0,-1.220000014E-1,1.458903700E-1
1.005291889E0,7.999999821E-2,4.100000113E-2,-1.770000011E-1,1.985195209E-1
1.010306658E0,6.599999964E-2,4.100000113E-2,-1.220000014E-1,1.446409360E-1
1.015321428E0,7.999999821E-2,5.499999970E-2,0.000000000E0,9.708243755E-2
1.020336269E0,7.999999821E-2,4.100000113E-2,1.220000014E-1,1.515420738E-1
1.025351040E0,7.999999821E-2,4.100000113E-2,1.360000074E-1,1.630245436E-1
1.030365809E0,7.999999821E-2,2.700000070E-2,3.999999911E-2,9.342911581E-2
1.035380579E0,7.999999821E-2,2.700000070E-2,-1.080000028E-1,1.370875646E-1
1.040395348E0,7.999999821E-2,4.100000113E-2,-1.770000011E-1,1.985195209E-1
1.045410112E0,6.599999964E-2,4.100000113E-2,-1.220000014E-1,1.446409360E-1
