"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.905919830E-1,-3.531496227E-2,-3.786182404E-2,3.195095062E-2,6.084018019E-2
5.955604720E-1,6.475349073E-4,-3.032410145E-2,3.166770935E-2,4.384990588E-2
6.005507850E-1,1.491536107E-2,-3.235226870E-2,-5.882644653E-2,6.877272786E-2
6.055631280E-1,6.215088069E-4,1.306980848E-2,-9.629249573E-2,9.717741970E-2
6.105713050E-1,1.014645398E-2,2.960056067E-2,-1.708698273E-2,3.565261139E-2
6.155572430E-1,-4.690153897E-2,-3.878235817E-3,1.041717529E-1,1.143090074E-1
6.205529720E-1,-2.746604756E-2,3.252387047E-3,1.246452332E-1,1.276769201E-1
6.255433370E-1,1.356017776E-3,7.709860802E-4,5.944919586E-2,5.946965690E-2
6.305316180E-1,2.987925150E-2,1.271563768E-2,-7.168579102E-2,7.869758411E-2
6.355306800E-1,8.429067582E-2,-3.943443298E-3,-1.233367920E-1,1.494403996E-1
6.405196910E-1,2.180196717E-2,-3.476864100E-2,3.596305847E-3,4.119608701E-2
6.455162010E-1,1.209579036E-2,-6.301271915E-2,5.939483643E-3,6.443747656E-2
6.504822950E-1,1.971380552E-4,-1.965308189E-2,5.340576172E-2,5.690745009E-2
6.554975030E-1,-1.883123443E-2,-2.836465836E-3,3.395843506E-2,3.893374167E-2
6.604963580E-1,-2.097288519E-2,4.234641790E-2,5.169868469E-3,4.753744379E-2
6.654657330E-1,2.674824372E-2,3.013968468E-2,5.128860474E-3,4.062233800E-2
6.704753680E-1,4.546599463E-2,3.730177879E-3,5.734634399E-2,7.327805991E-2
6.754667740E-1,4.976797476E-2,3.671765327E-3,6.399345398E-2,8.115106484E-2
6.804580760E-1,7.313418388E-2,1.781576872E-2,4.444980621E-2,8.741736521E-2
6.854497950E-1,4.167510942E-2,1.526445150E-2,-3.431510925E-2,5.610120273E-2
6.904412010E-1,8.047966287E-3,-1.091843843E-2,-3.164958954E-2,3.443368376E-2
6.954351080E-1,1.736148074E-2,-3.728151321E-3,3.275203705E-2,3.725608751E-2
7.004283370E-1,2.907894924E-2,8.255898952E-3,4.673671722E-2,5.566027213E-2
7.054246390E-1,5.742681772E-2,-1.079320908E-2,3.588676453E-3,5.854238937E-2
7.104158370E-1,2.372309752E-2,1.147150993E-3,-6.533336639E-2,6.951654534E-2
7.154048990E-1,4.731313139E-2,4.392117262E-2,-2.440261841E-2,6.901514031E-2
7.203956280E-1,7.055952400E-2,-3.931581974E-3,8.745288849E-2,1.124371445E-1
7.253894300E-1,3.679430485E-2,-5.381244421E-2,1.033506393E-1,1.221922857E-1
